,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
52,92,71.0,Wrocław,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,12.5%,Doctor Brew,"Doctor Brew Barley Wine 27,5 Brandy BA",375 cal per 355ml,3.72,3.66,3.60,,Snifter
53,91,67.0,Wrocław,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,10.5%,Doctor Brew,Doctor Brew Barley Wine Bourbon BA,315 cal per 355ml,3.73,3.64,3.59,"
 Barley Wine Bourbon Barrel Aged - 24 Blg…",Snifter
54,91,91.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Sinem IPA,186 cal per 355ml,3.69,3.63,3.58,"To ja. Sinem IPA. Tańczę na powierzchni unoszącego się bąbelka. Z pełnym wdziękiem wzbogacam każdą kroplę tego przepysznego piwa, roznosząc obłędnie niesamowity aromat. Następnie z gracją pikuję w dół, by znów unieść się do góry. Czas płynie, a ja nieprzerwanie odprawiam swój taniec. Jeśli będziesz miał szczęście, to zobaczysz mnie w sączących się promieniach. Jeśli nie, nic…",Shaker
55,90,92.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Mosaic IPA,186 cal per 355ml,3.76,3.61,3.59,,Shaker
56,89,90.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Enigma IPA,186 cal per 355ml,3.62,3.60,3.57,Kongruencja naszych głodnych istnień dała mi swobodę nazwać cię prawdziwą jedynką. Niech z każdą kolejną chwilą romantyczna entropia wzrasta. Moja. Przepyszna. Enigma. 16°,Shaker
57,89,95.0,Wrocław,Lower Silesian,Poland,ISA - Session IPA,4.7%,Doctor Brew,Doctor Brew Simcoe Session IPA,141 cal per 355ml,3.71,3.58,3.55,,English pint
58,89,96.0,Wrocław,Lower Silesian,Poland,ISA - Session IPA,4.7%,Doctor Brew,Doctor Brew Citra Session IPA,141 cal per 355ml,3.75,3.60,3.57,,English pint
59,88,58.0,Wrocław,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,10.5%,Doctor Brew,Doctor Brew Barley Wine,315 cal per 355ml,3.60,3.57,3.55,American Barley Wine 24° Plato,Snifter
60,88,70.0,Wrocław,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,6.2%,Doctor Brew,Doctor Brew Black IPA,186 cal per 355ml,3.59,3.55,3.53,"Nad wielkim ogniem stoi wielki kocioł, a nad nim zakapturzone postacie odprawiają swoje czary do mary. Dolewają, przelewają i mieszają, a czerń warzonej mikstury pochłania wszystkie promienie światła. W ciemni, pośród zapachów chmielu, czekolady i afrodyzjaków rodzi się mocarny jeździec! Nie lękaj się ciemnej strony piwa-potrzyj butelkę przed otwarciem by przyciągnąć moce.…",Shaker
61,87,71.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer,4.8%,Doctor Brew,Doctor Brew Mosaic Acid,144 cal per 355ml,3.61,3.71,3.55,Hoppy Sour - 12° Plato,Snifter
