,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
2286,66,49.0,Toruń,Kuyavian-Pomeranian,Poland,IPA,6.6%,Deer Bear,Deer Bear Yam Yam Ramen,198 cal per 355ml,3.47,3.39,3.35,"Pszeniczna IPA inspirowana kuchnią dalekiego wschodu. Do piwa dodaliśmy mnóstwo świeżych i aromatycznych przypraw używanych przy gotowaniu słynnego japońskiego dania. Tak bardzo zainspirowaliśmy się Ramenem, że wrzuciliśmy do kadzi warzelnej makaron i morskie wodorosty!…",Shaker
2287,64,32.0,Toruń,Kuyavian-Pomeranian,Poland,IPA - Milkshake / Smoothie,5.4%,Deer Bear,Deer Bear Jackie Chun,162 cal per 355ml,3.68,3.48,3.34,guava & passionfruit,
2288,63,26.0,Toruń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer,4.0%,Deer Bear,Deer Bear Stardust - Cryo Mosaic,120 cal per 355ml,3.38,3.35,3.32,"Kwaśne piwo górnej fermentacji zakwaszone w kotle, następnie przefermentowane klasycznymi drożdżami. Piwo z dodatkiem pudru chmielowego z Yakima Valley. Całość aromatu chmielowego w piwie uzyskaliśmy wykorzystując odmianę Mosaic",Snifter
2289,61,20.0,Toruń,Kuyavian-Pomeranian,Poland,IPA - Sour / Wild,5.0%,Deer Bear,Deer Bear Deer Ninja,150 cal per 355ml,3.52,3.45,3.32,,
2290,59,23.0,Toruń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer,4.0%,Deer Bear,Deer Bear Stardust - Cryo Citra,120 cal per 355ml,3.34,3.32,3.29,"Kwaśne piwo górnej fermentacji zakwaszone w kotle, następnie przefermentowane klasycznymi drożdżami. Piwo z dodatkiem pudru chmielowego z Yakima Valley. Całość aromatu chmielowego w piwie uzyskaliśmy wykorzystując odmianę Citra",Snifter
2291,59,17.0,Toruń,Kuyavian-Pomeranian,Poland,IPA - Hazy / New England (NEIPA),5.3%,Deer Bear,Deer Bear Hop Daddy,159 cal per 355ml,3.47,3.33,3.31,"IPA w stylu New England z dodatkiem owocu Marakuji nachmielona na smak i aromat chmielami Mosaic, Citra i Cascade.…",Shaker
2292,57,19.0,Toruń,Kuyavian-Pomeranian,Poland,IPA - Sour / Wild,6.3%,Deer Bear,"Deer Bear Essentials Kwaśne, Chmielowe, Niezbędne Do Życia W Stadzie",189 cal per 355ml,3.35,3.42,3.31,"Sour DDH Double IPA
Hoprate  18 g/l",
2293,57,93.0,Toruń,Kuyavian-Pomeranian,Poland,Pilsener / Pils / Pilsner,5.0%,Deer Bear,Deer Bear Enzo Gorlomi,150 cal per 355ml,3.50,3.48,3.31,"Enzo Gorlomi to jak najbardziej polski produkt, ale chmielony w stylu nowej fali, którą rozpropagowały włoskie browary. Lekka podbudowa słodowa, wyraźna goryczka pochodząca od polskiego chmielu Marynka i intensywnie chmielone na zimno jak przy amerykańskiej IPA, tylko zamiast amerykańskimi chmielami posłużyliśmy się świeżymi zbiorami najlepszych niemieckich chmieli…",Flute
2298,99,90.0,Toruń,Kuyavian-Pomeranian,Poland,Stout - Imperial,10.0%,Deer Bear,Deer Bear Xtreme 03 - Virgin Bourbon BA,300 cal per 355ml,4.17,4.13,3.86,Pierwszy imperialny stout w browarze leżakowany 8 miesięcy w beczce po bourbonie z destylarni Woodford Reserve…,Snifter
2299,98,99.0,Toruń,Kuyavian-Pomeranian,Poland,Gose - Flavored,4.1%,Deer Bear,Deer Bear Xtreme 01 - Beer Geek Gose,123 cal per 355ml,4.03,3.94,3.83,"Deer Bear Xtreme - to piwa ekstremalnie rzadkie, ekstremalnie wykręcone i ekstremalnie dobre! W serii Xtreme jedziemy po bandzie i łamiemy reguły. Zastanawialiśmy się co łączy Toruń i kraje północy i wpadliśmy na szalony pomysł. Pepperkaker! - norweskie imbirowe pierniki i nasze toruńskie to punkt wspólny który postanowiliśmy wykorzystać w motywie piwa. Dodaliśmy to naszej śliwki oprócz soli…",
2300,97,77.0,Toruń,Kuyavian-Pomeranian,Poland,Stout - Imperial,9.0%,Deer Bear,Deer Bear Candy Shop - Nut Cake,270 cal per 355ml,3.82,3.79,3.75,Imperial milk stout with intense nut and coconut flavour - 24 BLG,Snifter
2301,96,85.0,Toruń,Kuyavian-Pomeranian,Poland,Sour Flemish Ale - Flanders Red / Oud Bruin,9.0%,Deer Bear,Deer Bear Xtreme 02 - Oud Bruin,270 cal per 355ml,3.80,3.84,3.70,Oud Bruin with sour cherries.,Snifter
2302,94,95.0,Toruń,Kuyavian-Pomeranian,Poland,Gose - Flavored,4.6%,Deer Bear,Deer Bear Let's Cook - Gose ze śliwką (Plum Gose),138 cal per 355ml,3.76,3.69,3.66,Gose z największym do tej pory dodatkiem owocu w postaci śliwek. Piwo zakwasiliśmy w kotle bakteriami kwasu mlekowego. Następnie przefermentowaliśmy i dodaliśmy owoce. Wersja gose ze śliwką w tym momencie dostępna jest tylko w kegu,
2303,92,47.0,Wrocław,Lower Silesian,Poland,Stout - Imperial,9.0%,Baba Jaga,Baba Jaga Elixir,270 cal per 355ml,3.75,3.67,3.61,"ELIXIR - ciemny, mocny, intensywny w smaku, precyzyjnie zestrojony - prawdziwie królewski. Jak na arystokratę przystało nie brak mu dostojnej nieprzeniknionej głębi i aksamitnej gładkości, aromatów kawowych, czekoladowych oraz owoców - suszonej śliwki i rodzynek. Tę kipiącą energią ciemną i treściwą materię przenikają nuty chmielowe, wywołując łagodne aromaty ziołowe i korzenne.…",Snifter
2304,91,47.0,Toruń,Kuyavian-Pomeranian,Poland,Stout - Imperial,11.0%,Jan Olbracht Browar Staromiejski,Jan Olbracht Legenda Króla,330 cal per 355ml,3.80,3.70,3.61,"Piernikowy RIS. Rosyjski Imperialny Stout Piernikowy. Pasteryzowane, niefiltrowane. Zawiera słód jęczmienny i płatki owsiane. Połączenie RIS-a z piwem piernikowym. Ciekawy i szlachetny aromat zawdzięcza wielomiesięcznemu leżakowaniu w beczkach dębowych po whisky szkockiej i dodatku przypraw piernikowych.",Snifter
2305,89,68.0,Trójmiasta,Pomeranian,Poland,Stout - Extra / Foreign / Tropical,6.5%,Browar Absztyfikant,Absztyfikant Hydrozagadka,195 cal per 355ml,3.72,3.68,3.54,Baltic Salty Stout - 16.5,English pint
2306,88,63.0,Wrocław,Lower Silesian,Poland,Stout - Extra / Foreign / Tropical,6.7%,Baba Jaga,Baba Jaga Black Widow 2,201 cal per 355ml,3.57,3.61,3.51,"COMMERCIAL DEScriptION
Czarna Wdowa [Black Widow; Latrodectus mactans] to mroczny kompan Baby Jagi. Poczuj intensywnie jej silny charakter. Ukąszenie…",English pint
2307,86,34.0,Toruń,Kuyavian-Pomeranian,Poland,Stout - Imperial Flavored / Pastry,9.5%,Deer Bear,Deer Bear Candy Shop - Maple Pie With Hint Of Cinammon,285 cal per 355ml,3.71,3.56,3.51,"Maple Pie With Hint Of Cinnamon Imperial Stout, 24 BLG",
2308,82,89.0,Toruń,Kuyavian-Pomeranian,Poland,Stout,6.8%,Deer Bear,Deer Bear Piwowar Domowy - Coffee Stout,204 cal per 355ml,3.62,3.67,3.48,"Deer Bear swoją przygodę rozpoczął warząc swoje receptury w domu. W hołdzie piwowarstwu domowemu stworzyliśmy serię piw w piwowarami domowymi. Coffee stout, czyli ciemne, palone, czekoladowe i niesamowicie kawowe piwo uwarzył z nami piwowar domowy: Piotr Żywiecki…",English pint
2309,82,51.0,Wrocław,Lower Silesian,Poland,Stout - Extra / Foreign / Tropical,6.7%,Baba Jaga,Baba Jaga Black Widow,201 cal per 355ml,3.57,3.51,3.47,,English pint
2310,73,63.0,Wrocław,Lower Silesian,Poland,Weissbier - Weizenbock,6.5%,Baba Jaga,Baba Jaga Widmak,195 cal per 355ml,3.43,3.39,3.31,"Widmaki pojawiają się dość niespodziewanie. Taki jest ich rogaty charakter, w końcu to koźlaki i to w szczególnym pszenicznym wydaniu. Aromat dojrzałego banana komponując się ze słodowością tworzy przyjemną pełnię. Chmiel nie dominuje, ale uzupełnia całość. Piwo ma kolor ciemno-bursztynowy z czapą białej piany. Widmak - zaskakujący jak na swój styl.",Dimpled mug
2311,73,23.0,Toruń,Kuyavian-Pomeranian,Poland,Stout - Imperial,9.0%,Jan Olbracht Browar Staromiejski,Jan Olbracht Insygnia Króla,270 cal per 355ml,3.53,3.50,3.42,"Rosyjski Imperialny Stout, 21°Blg",Snifter
2312,67,35.0,Toruń,Kuyavian-Pomeranian,Poland,Porter - Baltic,9.4%,Deer Bear,Deer Bear Piwowar Domowy - Porter Bałtycki,282 cal per 355ml,3.45,3.44,3.38,Porter Bałtycki uwarzony we współpracy z piwowarem domowym Mariuszem Bystrykiem. Mariusz w 2016 roku zgarnął tytuł piwowara roku wg. klasyfikacji generalnej PSPD i również wg. Bractwa Piwnego.…,English pint
2313,65,33.0,Wrocław,Lower Silesian,Poland,Porter - Baltic,8.9%,Baba Jaga,Baba Jaga Porter,267 cal per 355ml,3.41,3.44,3.35,"21 BLG. Hops: Marynka (PL), Lubelski (PL). Unfiltered, pasteurised. Brewed with: oatmeal flakes, sugar, coconut shrims, almond flakes, dried plums, dried dates.",English pint
2314,46,77.0,Toruń,Kuyavian-Pomeranian,Poland,Flavored - Other,5.6%,Jan Olbracht Browar Staromiejski,Jan Olbracht Staromiejski Grzane Piernikowe,168 cal per 355ml,3.29,3.29,3.21,"Piwo ciemne o smaku grzanego piernika. Składniki: słód jęczmienny, miód, cukier, cynamon, goździki, kolendra, gałka muszkatołowa, ziele angielskie, imbir, aromat naturalny pomarańczowy.",Lager glass
2315,44,66.0,Toruń,Kuyavian-Pomeranian,Poland,Witbier / Belgian White Ale,5.0%,Jan Olbracht Browar Staromiejski,Jan Olbracht White Summer,150 cal per 355ml,3.16,3.22,3.15,12.5 BLG,Tumbler
2316,41,24.0,Toruń,Kuyavian-Pomeranian,Poland,Weissbier - Weizenbock,8.0%,Jan Olbracht Browar Staromiejski,Jan Olbracht Donar,240 cal per 355ml,3.12,3.14,3.08,"Koźlak pszeniczny dubeltowy – Weizen Doppel Bock. Receptura: Marcin Ostajewski. Contains: water, Malt: Dark Wheat Malt, Munich malt, Carapils, Vienna Malt, Caragold, Carafa, dry malt extract Muntons light, dry malt extract Muntons Wheat; hops: Perle, yeast: WB-06.",Dimpled mug
2317,34,52.0,Toruń,Kuyavian-Pomeranian,Poland,Weissbier - Hefeweizen,5.0%,Jan Olbracht Browar Staromiejski,Jan Olbracht Śmietanka Toruńska,150 cal per 355ml,2.92,3.06,3.05,,Weizen
2318,33,46.0,Wrocław,Lower Silesian,Poland,Wheat Ale,5.8%,Baba Jaga,Baba Jaga Duch,174 cal per 355ml,3.18,2.98,2.96,"Duch zosta³ z³apany. Jest zamkniêty w butelce i od teraz niczym d¿inn bêdzie wiernie s³u¿y³ w³a¶cicielowi. To IPA w wersji pszenicznej, pe³na w smaku, z dominuj±cymi aromatami drzewa cedrowego, gumy balonowej i przypraw, pochodz±cymi z eksperymentalnego chmielu ADHA 484. Duch - warto wypu¶ciæ go z butelki, aby spe³ni³ Twoje ¿yczenie",Shaker
2319,29,45.0,Toruń,Kuyavian-Pomeranian,Poland,Flavored - Other,5.6%,Jan Olbracht Browar Staromiejski,Jan Olbracht Staromiejski Piernik Toruński,168 cal per 355ml,3.17,3.00,3.00,A dark lager beer of gingerbread flavor. Contains wheat malt and barley malt.,Lager glass
2320,19,38.0,Toruń,Kuyavian-Pomeranian,Poland,Pilsener - Bohemian / Czech,5.2%,Jan Olbracht Browar Staromiejski,Jan Olbracht Pils,156 cal per 355ml,2.89,2.84,2.84,"A pale malt, lager type beer, non-filtered, pasteurized, contains barley malt.",Dimpled mug
2321,15,16.0,Toruń,Kuyavian-Pomeranian,Poland,Märzen / Oktoberfest Bier,5.2%,Jan Olbracht Browar Staromiejski,Jan Olbracht Staromiejski Bursztyn Toruński,156 cal per 355ml,2.75,2.67,2.74,"Charakter piwa to przede wszystkim i najczęściej rodzaj użytego słodu lub słodów, zawartość alkoholu, goryczka chmielowa oraz stężenie ekstraktu czyli nieprzefermentowanych składników słodu. Bursztyn Toruński jest piwem o specyficznej bursztynowej barwie. Powstaje z wyselekcjonowanych rodzajów słodów jęczmiennych i pszenicznych. Niepowtarzalny smak z charakterystyczną goryczką,…",Dimpled mug
2322,11,1.0,Wrocław,Lower Silesian,Poland,IPA,6.0%,Baba Jaga,Baba Jaga Le Mage,180 cal per 355ml,2.66,2.48,2.61,"LE MAGE - z jęz. fr. czarodziej, mag - uraczy Was ciekawym połączeniem intensywnej, lecz wyważonej chmielowej goryczki, z aromatami owocowymi i przyprawowymi pochodzącymi od użytych do fermentacji płynnych drożdży FM26. W smaku wyczuwalna jest też ciasteczkowość charakterystyczna dla tego stylu, którą wnoszą m.in. słody karmelowe. Piwo o złotej barwie i białej pianie. Le Mag…",Shaker
2323,11,2.0,Wrocław,Lower Silesian,Poland,Pale Ale - American (APA),5.0%,Baba Jaga,Baba Jaga Chmielarka,150 cal per 355ml,2.44,2.37,2.52,"CHMIELARKA - Znakomicie pokazuje jaki potencjał drzemie w naszych rodzimych chmielach: Lubelskim i Marynce. Raczy nas umiarkowaną goryczką, koncentrując się przy chmieleniu na aromacie. Efektem czego jest niepowtarzalny aromat kwiatów i owocu moreli, pojawiający się na pierwszym planie. Piwo jasne, opalizujące, z białą pianą. Chmielarka - odkrywamy na nowo polskie chmiele.",Lager glass
2351,10,17.0,Toruń,Kuyavian-Pomeranian,Poland,Flavored - Other,6.0%,Krajina Piva,Krajina Piva Toruńskie Piernikowe,180 cal per 355ml,2.55,2.49,2.58,14P Gingerbread beer,Lager glass
2357,86,50.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Barley Wine / Wheat Wine / Rye Wine,10.2%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Sting,306 cal per 355ml,3.60,3.60,3.53,"Mocne piwo górnej fermentacji, potężna podbudowa słodowa i charakterystyczny aromat cytrusowo-żywiczny pochodzący od amerykańskiego chmielu.",Snifter
2358,74,96.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Witbier / Belgian White Ale,5.0%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Witek,150 cal per 355ml,3.45,3.49,3.42,"Tradycyjne belgijskie piwo pszeniczne, jasne naturalnie mętne orzeźwiające z nutą kolendry oraz egzotycznej skórki curacao.
Składniki - woda, słód pilzneński, płatki pszeniczne, płatki owsiane, słód melanoidynowe, drożdże FM20, chmiel Hersbrucker, Saaz,…",Tumbler
2359,72,22.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Stout - Imperial,9.0%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra RISpect,270 cal per 355ml,3.54,3.45,3.41,24 Blg,Snifter
2360,67,73.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Smoked - Rauchbier,5.5%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Dymy Osowej,165 cal per 355ml,3.50,3.45,3.37,Rauchbock - 14 Blg,Dimpled mug
2361,65,73.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Pale Ale - American (APA),6.2%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Singiel,186 cal per 355ml,3.43,3.42,3.36,APA Single Hop Mosaic - 14 Blg,Lager glass
2362,60,92.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Wheat Ale,4.8%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Zefir,144 cal per 355ml,3.31,3.42,3.33,"American Wheat z trawą cytrynową, 12°P. 
Składniki: woda; chmiele: Citra, Amarillo; słody: Pilzneński, Pszeniczny; drożdże: Safale US-05; dodatki: trawa cytrynowa.…",Shaker
2363,58,45.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,IPA,6.5%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Top Secret,195 cal per 355ml,3.48,3.42,3.32,"TOP SECRET to nasza interpretacja stylu AIPA uwarzona we współpracy z Muzeum Ściśle Tajne w Tryszczynie pod Bydgoszczą - odtajnionym w 2015 roku schronie wojewody z czasów Zimnej Wojny. Obiekt miał chronić władze państwowe w przypadku ataku jądrowego, skażeń chemicznych i biologicznych. W pełni zachowana i działająca aparatura schronu oraz niezwykły klimat sprawiają, ż…",Shaker
2364,51,57.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Pale Ale - American (APA),5.5%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Bydgoski Apacz,165 cal per 355ml,3.34,3.35,3.29,12 Blg,Lager glass
2365,51,40.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,IPA,6.0%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Twister,180 cal per 355ml,3.29,3.36,3.27,"Orzeźwiające, soczyste i solidnie nachmielone na smak i aromat American India Pale Ale wywodzące się ze stanu Vermont. Przygotujcie się na letnie owocowe uderzenie i chmielowe zakręcenie, które gwarantuje TWISTER.",Shaker
2366,48,85.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Pilsener - Bohemian / Czech,5.0%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Bydgoskie Sesyjne,150 cal per 355ml,3.43,3.31,3.24,Bohemian Pilsner - 12 Blg.…,Dimpled mug
2367,44,59.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Belgian Ale - Pale / Golden / Single,6.2%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Węgliszek,186 cal per 355ml,3.21,3.23,3.17,Belgian Speciality Ale - 16 Blg,Trappist glass
2368,43,79.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Weissbier - Hefeweizen,5.0%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Pszeniczniak,150 cal per 355ml,3.30,3.22,3.16,"Klasyczne piwo pszeniczne wzorowane na niemieckim hefe-weizen.
Skład: woda, słód pszeniczny, słód jęczmienny wiedeński, drożdże FM 41, chmiel Hersbrucker.…",Weizen
2369,43,27.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Stout - Milk / Sweet,4.5%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Rodeo,135 cal per 355ml,3.18,3.21,3.16,Milk Stout - 14 Blg,English pint
2370,40,29.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Weissbier - Weizenbock,6.8%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Weizenbock,204 cal per 355ml,3.01,3.18,3.12,16 Blg,Dimpled mug
2371,39,48.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Belgian Ale - Pale / Golden / Single,6.8%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Blondyna,204 cal per 355ml,3.07,3.14,3.11,"Piwo pszeniczne – niepasteryzowane, niefiltrowane
Piwo w stylu Belgian Blond, warzone na płynnych drożdżach, w aromacie i smaku mieszanka przypraw i owoców.…",Trappist glass
2372,38,60.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Wheat Ale,6.5%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Mgliste,195 cal per 355ml,3.22,3.16,3.10,"Wheat IPA. 
Mgliste to kolejna wariacja na temat American India Pale Ale. Tym razem w zasypie użyliśmy sporo słodu pszenicznego…",Shaker
2373,38,5.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,IIPA DIPA - Imperial / Double IPA,7.4%,Kujawski Browar Regionalny Osowa Góra,Osowa Góra Hornet,222 cal per 355ml,3.17,3.12,3.10,18 Blg,Shaker
2383,5,30.0,Włocławek,Kuyavian-Pomeranian,Poland,Pale Lager - Strong,6.6%,Lewiatan Holding S.A.,Lewiatan Goldbrayner Strong,198 cal per 355ml,2.06,2.07,2.24,,
2384,2,32.0,Włocławek,Kuyavian-Pomeranian,Poland,Pale Lager - American,4.5%,Lewiatan Holding S.A.,Lewiatan Goldbrayner,135 cal per 355ml,1.64,1.77,1.94,Brewed for ZKiP Lewiatan ’94 Holding S.A.,Dimpled mug
2396,97,93.0,Tleń,Kuyavian-Pomeranian,Poland,Porter - Baltic,10.1%,Przystanek Tlen,Przystanek Tleń Porter Rum Barrel Aged,303 cal per 355ml,3.89,3.83,3.78,,English pint
2397,97,100.0,Tleń,Kuyavian-Pomeranian,Poland,IPA - Brut,8.5%,Przystanek Tlen,Przystanek Tlen Brut IPA Chardonnay Barrel Aged,255 cal per 355ml,3.88,3.87,3.76,,
2398,93,64.0,Tleń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer - Flavored,6.0%,Przystanek Tlen,Przystanek Tleń Sour Cherry Wild Ale White Wine B.A.,180 cal per 355ml,3.73,3.73,3.64,,
2399,93,78.0,Tleń,Kuyavian-Pomeranian,Poland,Porter - Baltic,6.1%,Przystanek Tlen,Przystanek Tleń Porter Barrel Aged,183 cal per 355ml,3.97,3.77,3.63,Baltic Porter barrel aged in rye whiskey barrels - 19 Blg…,English pint
2400,92,70.0,Tleń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer - Flavored,6.0%,Przystanek Tlen,Przystanek Tleń Sour Passionfruit Wild Ale Rum B.A.,180 cal per 355ml,3.83,3.80,3.63,"Niefiltrowane, refermentowane w butelce.",
2401,92,59.0,Tleń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer - Flavored,6.0%,Przystanek Tlen,Przystanek Tleń  Sour Cherry Wild Ale Red Wine B.A>,180 cal per 355ml,3.76,3.76,3.62,,
2402,91,60.0,Tleń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer - Flavored,6.7%,Przystanek Tlen,Przystanek Tleń Sour Mango Wild Ale Rum B.A.,201 cal per 355ml,3.62,3.71,3.60,12.5 Blg,
2403,89,55.0,Tleń,Kuyavian-Pomeranian,Poland,Sour / Wild Beer - Flavored,6.0%,Przystanek Tlen,Przystanek Tleń Sour Cherry Wild Ale,180 cal per 355ml,3.67,3.71,3.58,,
2404,88,60.0,Tleń,Kuyavian-Pomeranian,Poland,Porter - Baltic,6.1%,Przystanek Tlen,Przystanek Tleń Porter,183 cal per 355ml,3.63,3.63,3.56,"Piwo dolnej fermentacji, o czarnej barwie, wysoki ekstrakt początkowy, w smaku wyczuwalna kawa, czekolada, wanilia i śliwka.…",English pint
2405,88,56.0,Tleń,Kuyavian-Pomeranian,Poland,Sour Flemish Ale - Flanders Red / Oud Bruin,7.0%,Przystanek Tlen,Przystanek Tleń Flanders,210 cal per 355ml,3.81,3.82,3.56,"Jest i ON. FLANDERS, czyli flamandzki red ale.
Długo kazał na siebie czekać, bo aż rok spędził w dębowych beczkach po czerwonym winie.
Pochodzi z Flandrii, znany jako burgund Belgii, jest najbardziej winnym ze wszystkich stylów piwa. 7% alkoholu, 16,5% ekstrakt, warzo…",Snifter
2406,85,32.0,Tleń,Kuyavian-Pomeranian,Poland,Stout - Imperial,9.8%,Przystanek Tlen,Przystanek Tleń RIS Brett Rum BA,294 cal per 355ml,3.50,3.62,3.50,,Snifter
2407,81,65.0,Łódź,Lódz,Poland,Stout - Milk / Sweet,4.8%,Browar Okrętowy,Okrętowy Jol,144 cal per 355ml,3.50,3.51,3.45,Vanilla Milk Stout - 14 Blg,English pint
2408,81,46.0,Tleń,Kuyavian-Pomeranian,Poland,Porter - Baltic,10.0%,Przystanek Tlen,Przystanek Tleń Porter Tequila Barrel Aged,300 cal per 355ml,3.55,3.53,3.46,,English pint
2409,81,31.0,Tleń,Kuyavian-Pomeranian,Poland,Stout - Imperial,8.5%,Przystanek Tlen,Przystanek Tleń Russian Imperial Stout,255 cal per 355ml,3.63,3.54,3.47,,Snifter
2410,80,45.0,Tleń,Kuyavian-Pomeranian,Poland,Barley Wine / Wheat Wine / Rye Wine,8.2%,Przystanek Tlen,Przystanek Tleń Brett Barley Wine Rye Whiskey BA,246 cal per 355ml,3.50,3.65,3.48,"Jasne piwo górnej fermentacji. Piwo uwarzone we współpracy z Januszem Svachem. Połączone siły, beczka po żytniej Whiskey, chmiele od Polish Hops, dzikie drożdże. My jesteśmy bardzo zadowoleni, a Wy?
Składniki: woda, słód jęczmienny, chmiel, drożdże górnej fermentacji, drożdże Brettanomyces Bruxellencis. 24 P",Snifter
2411,77,67.0,Tleń,Kuyavian-Pomeranian,Poland,Gose - Flavored,4.8%,Przystanek Tlen,Przystanek Tleń Gose z Malinami,144 cal per 355ml,3.59,3.59,3.44,,
2412,73,39.0,Tleń,Kuyavian-Pomeranian,Poland,Porter - Baltic,7.5%,Przystanek Tlen,Przystanek Tleń Porter Wędzony ze śliwką,225 cal per 355ml,3.49,3.48,3.40,Piwo dolnej fermentacji o czarnej barwie. W smaku wyczuwalne nuty wędzone i palone oraz śliwka.…,English pint
2413,69,62.0,Tleń,Kuyavian-Pomeranian,Poland,Stout - Milk / Sweet,4.6%,Przystanek Tlen,Przystanek Tleń Milk Stout,138 cal per 355ml,3.70,3.52,3.38,"Ciemne piwo górnej fermentacji. W aromacie uwydatnia się kawa z mlekiem, praliny rumowe. W smaku dominuje run, kokos, czekolada i kawa zbożowa.",English pint
2414,66,47.0,Tleń,Kuyavian-Pomeranian,Poland,IPA - Brut,8.5%,Przystanek Tlen,Przystanek Tlen Brut IPA,255 cal per 355ml,3.51,3.56,3.37,"Jasne piwo górnej fermentacji. Kolor jasno słomkowy. W aromacie cytrusy, winogrona, owoce tropikalne. W smaku wytrawne z umiarkowaną goryczką, wyczuwalne winogrona, delikatnie musujące.",
2415,46,30.0,Tleń,Kuyavian-Pomeranian,Poland,Old Ale,6.5%,Przystanek Tlen,Przystanek Tlen Old Ale	Barrel Aged Pommard Red Wine,195 cal per 355ml,3.24,3.25,3.20,,English pint
2416,27,8.0,Tleń,Kuyavian-Pomeranian,Poland,IPA,6.8%,Przystanek Tlen,Przystanek Tleń IPA,204 cal per 355ml,3.19,2.98,2.97,15 Blg,Shaker
2417,27,6.0,Tleń,Kuyavian-Pomeranian,Poland,IPA - White,6.1%,Przystanek Tlen,Przystanek Tleń White IPA,183 cal per 355ml,2.95,2.96,2.96,14 Blg,
2487,39,20.0,Bydgoszcz,Kuyavian-Pomeranian,Poland,Stout - Milk / Sweet,5.8%,Rzeka Piwa,Rzeka Piwa Belzebóbr,174 cal per 355ml,3.35,3.15,3.09,"Piwo uwarzone na pierwsze urodziny browaru. Przyjemny, gładki, zbalansowany stout z nutą orzechową. Jego charakter podkreślają opiekane orzechy macerowane w bourbonie. 
Składniki: woda; słody: Pale Ale, Monachijski, Czekoladowy Jasny, Czekoladowy Ciemny, Pszenica Prażona; chmiel: Admiral; dodatki:…",English pint
2531,24,35.0,Kraków,Lesser Poland,Poland,Weissbier - Hefeweizen,5.5%,Barbakan Beer,Wawelskie Pszeniczne,165 cal per 355ml,2.82,2.91,2.91,,Weizen
2532,16,16.0,Kraków,Lesser Poland,Poland,Zwickelbier / Kellerbier / Landbier,4.2%,Barbakan Beer,Wawelskie Jasne Pełne Niefiltrowane,126 cal per 355ml,2.68,2.71,2.77,,Dimpled mug
2533,2,34.0,Kraków,Lesser Poland,Poland,Pale Lager - American,5.9%,Barbakan Beer,Barbakan Jasne,177 cal per 355ml,1.98,1.65,1.97,11.9 Plato,Dimpled mug
2550,79,72.0,Kraków,Lesser Poland,Poland,IPA,5.5%,Beer City,Beer City Manutea,165 cal per 355ml,3.61,3.64,3.46,"Manutea is an amber beer with an intensive Earl Grey Tea flavour, a strong aroma of Citra and a solid dose of bitterness. Addition of bergamot orange peel and Royal Earl Grey Tea makes this beer a perfect thirst remedy.…",Shaker
2551,73,82.0,Kraków,Lesser Poland,Poland,Pale Ale - American (APA),5.0%,Beer City,Beer City Machina,150 cal per 355ml,3.47,3.48,3.41,"Machina to piwo górnej fermentacji w stylu American Pale Ale. Jasnobursztynowe, lekko goryczkowe, niezbyt wytrawne, o armacie cytrusowym żywicznym sosnowym.…",Lager glass
